X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-81.40376,29.01342,0,0,186,2,,,,,,,,,,,,,,,,,,,,,,
-81.4038,29.01347,0,0,187,2,,,,,,,,,,,,,,,,,,,,,,
-81.40383,29.01352,0,0,188,2,,,,,,,,,,,,,,,,,,,,,,
-81.40388,29.01356,0,0,189,2,,,,,,,,,,,,,,,,,,,,,,
-81.40393,29.01362,0,0,190,2,,,,,,,,,,,,,,,,,,,,,,
-81.40395,29.01368,0,0,191,2,,,,,,,,,,,,,,,,,,,,,,
-81.40398,29.01372,0,0,192,1.82,,,,,,,,,,,,,,,,,,,,,,
-81.40402,29.01376,0,0,193,1.64,,,,,,,,,,,,,,,,,,,,,,
-81.40414,29.01381,0,0,194,1.96,,,,,,,,,,,,,,,,,,,,,,
-81.40419,29.01386,0,0,195,2,,,,,,,,,,,,,,,,,,,,,,
-81.4042,29.01386,0,0,196,2,,,,,,,,,,,,,,,,,,,,,,
-81.4043,29.01396,0,0,197,2,,,,,,,,,,,,,,,,,,,,,,
-81.40439,29.014,0,0,198,1.88,,,,,,,,,,,,,,,,,,,,,,
-81.40445,29.01404,0,0,199,2,,,,,,,,,,,,,,,,,,,,,,
-81.40449,29.01408,0,0,200,1.97,,,,,,,,,,,,,,,,,,,,,,
-81.40456,29.01417,0,0,201,1.96,,,,,,,,,,,,,,,,,,,,,,
-81.40461,29.01422,0,0,202,1.42,,,,,,,,,,,,,,,,,,,,,,
-81.40477,29.0143,0,0,203,1.79,,,,,,,,,,,,,,,,,,,,,,
-81.40486,29.01433,0,0,204,2,,,,,,,,,,,,,,,,,,,,,,
-81.40491,29.01434,0,0,205,2,,,,,,,,,,,,,,,,,,,,,,
-81.40497,29.01437,0,0,206,1.94,,,,,,,,,,,,,,,,,,,,,,
-81.40507,29.01441,0,0,207,2,,,,,,,,,,,,,,,,,,,,,,
-81.40518,29.01448,0,0,208,1.62,,,,,,,,,,,,,,,,,,,,,,
-81.40529,29.01455,0,0,209,1.86,,,,,,,,,,,,,,,,,,,,,,
-81.40534,29.01458,0,0,210,1.54,,,,,,,,,,,,,,,,,,,,,,
-81.40541,29.0146,0,0,211,1.61,,,,,,,,,,,,,,,,,,,,,,
-81.40556,29.0146,0,0,212,2,,,,,,,,,,,,,,,,,,,,,,
-81.40562,29.0146,0,0,213,2,,,,,,,,,,,,,,,,,,,,,,
-81.4057,29.0146,0,0,214,2,,,,,,,,,,,,,,,,,,,,,,
-81.40576,29.01459,0,0,215,2.09,,,,,,,,,,,,,,,,,,,,,,
-81.40583,29.01458,0,0,216,2.52,,,,,,,,,,,,,,,,,,,,,,
-81.4059,29.01457,0,0,217,2.18,,,,,,,,,,,,,,,,,,,,,,
-81.40597,29.01456,0,0,218,2,,,,,,,,,,,,,,,,,,,,,,
-81.40604,29.01456,0,0,219,2.17,,,,,,,,,,,,,,,,,,,,,,
-81.4061,29.01458,0,0,220,2.47,,,,,,,,,,,,,,,,,,,,,,
-81.40618,29.01461,0,0,221,2.05,,,,,,,,,,,,,,,,,,,,,,
-81.40623,29.01464,0,0,222,2,,,,,,,,,,,,,,,,,,,,,,
-81.40628,29.01476,0,0,223,2,,,,,,,,,,,,,,,,,,,,,,
-81.40631,29.01482,0,0,224,2,,,,,,,,,,,,,,,,,,,,,,
-81.40631,29.01484,0,0,225,2,,,,,,,,,,,,,,,,,,,,,,
-81.40642,29.01502,0,0,226,1.26,,,,,,,,,,,,,,,,,,,,,,
-81.40647,29.01509,0,0,227,1.02,,,,,,,,,,,,,,,,,,,,,,
-81.4065,29.01518,0,0,228,1.01,,,,,,,,,,,,,,,,,,,,,,
-81.40653,29.01522,0,0,229,1,,,,,,,,,,,,,,,,,,,,,,
-81.40656,29.01528,0,0,230,1,,,,,,,,,,,,,,,,,,,,,,
-81.40662,29.01533,0,0,231,1,,,,,,,,,,,,,,,,,,,,,,
-81.40668,29.01537,0,0,232,1,,,,,,,,,,,,,,,,,,,,,,
-81.40675,29.0154,0,0,233,1,,,,,,,,,,,,,,,,,,,,,,
-81.40687,29.01542,0,0,234,1,,,,,,,,,,,,,,,,,,,,,,
-81.40693,29.01541,0,0,235,1,,,,,,,,,,,,,,,,,,,,,,
-81.40699,29.0154,0,0,236,1,,,,,,,,,,,,,,,,,,,,,,
-81.40713,29.01542,0,0,237,1.46,,,,,,,,,,,,,,,,,,,,,,
-81.40723,29.01546,0,0,238,1.03,,,,,,,,,,,,,,,,,,,,,,
-81.40729,29.01547,0,0,239,1,,,,,,,,,,,,,,,,,,,,,,
-81.40736,29.01548,0,0,240,1,,,,,,,,,,,,,,,,,,,,,,
-81.40759,29.01541,0,0,241,1,,,,,,,,,,,,,,,,,,,,,,
-81.40772,29.01532,0,0,242,1,,,,,,,,,,,,,,,,,,,,,,
-81.40779,29.01527,0,0,243,1,,,,,,,,,,,,,,,,,,,,,,
-81.4079,29.01523,0,0,244,1.17,,,,,,,,,,,,,,,,,,,,,,
-81.40805,29.01518,0,0,245,2,,,,,,,,,,,,,,,,,,,,,,
-81.40811,29.01516,0,0,246,2,,,,,,,,,,,,,,,,,,,,,,
-81.40827,29.01514,0,0,247,2,,,,,,,,,,,,,,,,,,,,,,
-81.40837,29.01512,0,0,248,2,,,,,,,,,,,,,,,,,,,,,,
